Price,BuildY,TradeY,TradeQ,Tenure,Size,Distance,D,District,Area
20,1974,2023,1,49,30,3,1,CBD,CBD
70,2015,2023,1,8,40,1,1,CBD,CBD
73,1995,2023,1,28,65,3,1,CBD,CBD
60,2001,2023,1,22,60,3,1,CBD,CBD
160,2015,2023,1,8,85,1,1,CBD,CBD
44,1979,2023,1,44,55,4,1,CBD,CBD
75,2015,2023,1,8,45,1,1,CBD,CBD
75,2000,2023,1,23,70,5,1,CBD,CBD
89,2008,2023,1,15,75,3,1,CBD,CBD
130,2013,2023,1,10,90,4,1,CBD,CBD
150,1999,2023,1,24,85,8,1,CBD,CBD
34,1973,2023,1,50,50,3,1,CBD,CBD
70,2002,2023,1,21,55,2,1,CBD,CBD
83,2011,2023,1,12,70,2,1,CBD,CBD
93,2005,2023,1,18,80,1,1,CBD,CBD
94,2005,2023,1,18,80,1,1,CBD,CBD
140,1999,2023,1,24,85,9,1,CBD,CBD
17,1973,2023,1,50,25,3,1,CBD,CBD
55,2011,2023,1,12,45,2,1,CBD,CBD
40,2004,2023,1,19,25,3,1,CBD,CBD
14,1983,2023,1,40,25,3,1,CBD,CBD
39,2000,2023,1,23,45,6,1,CBD,CBD
120,2013,2023,1,10,80,3,1,CBD,CBD
90,2013,2023,1,10,60,3,1,CBD,CBD
50,1980,2023,1,43,55,6,1,CBD,CBD
80,2011,2023,1,12,65,4,1,CBD,CBD
33,1984,2023,1,39,35,4,1,CBD,CBD
46,1999,2023,1,24,45,6,1,CBD,CBD
140,2008,2023,1,15,90,3,1,CBD,CBD
51,2018,2023,1,5,45,5,1,CBD,CBD
85,2012,2023,1,11,70,5,1,CBD,CBD
90,2005,2023,1,18,65,1,1,CBD,CBD
75,2011,2023,1,12,55,4,1,CBD,CBD
120,2012,2023,1,11,85,4,1,CBD,CBD
130,2016,2023,1,7,75,5,1,CBD,CBD
62,2005,2023,1,18,60,3,1,CBD,CBD
24,1977,2023,1,46,35,5,1,CBD,CBD
81,2010,2023,1,13,65,2,1,CBD,CBD
52,1998,2023,1,25,40,3,1,CBD,CBD
86,2005,2023,1,18,70,5,1,CBD,CBD
73,2005,2023,1,18,60,5,1,CBD,CBD
23,2000,2023,1,23,25,2,1,CBD,CBD
42,2006,2023,1,17,45,4,1,CBD,CBD
35,1978,2023,1,45,45,1,1,CBD,CBD
61,2004,2023,1,19,60,9,1,CBD,CBD
52,2005,2023,1,18,40,1,1,CBD,CBD
29,2000,2023,1,23,30,2,1,CBD,CBD
32,2002,2023,1,21,30,1,1,CBD,CBD
32,2002,2023,1,21,30,1,1,CBD,CBD
60,1999,2023,1,24,45,2,1,CBD,CBD
120,2011,2021,1,10,85,6,0,CBD,CBD
80,2014,2021,1,7,45,7,0,CBD,CBD
100,2002,2021,1,19,70,2,0,CBD,CBD
55,2002,2021,1,19,40,2,0,CBD,CBD
84,2002,2021,1,19,55,2,0,CBD,CBD
42,2016,2021,1,5,40,10,0,CBD,CBD
130,2015,2021,1,6,70,10,0,CBD,CBD
93,2013,2021,1,8,60,10,0,CBD,CBD
100,2005,2021,1,16,65,6,0,CBD,CBD
68,2003,2021,1,18,60,4,0,CBD,CBD
49,1997,2021,1,24,40,4,0,CBD,CBD
32,1982,2021,1,39,40,7,0,CBD,CBD
150,2008,2021,1,13,90,11,0,CBD,CBD
60,2012,2021,1,9,40,5,0,CBD,CBD
56,2012,2021,1,9,45,5,0,CBD,CBD
63,2012,2021,1,9,45,5,0,CBD,CBD
59,2001,2021,1,20,55,8,0,CBD,CBD
59,2014,2021,1,7,40,6,0,CBD,CBD
140,2008,2021,1,13,90,3,0,CBD,CBD
100,2004,2021,1,17,70,6,0,CBD,CBD
54,1998,2021,1,23,45,7,0,CBD,CBD
76,1980,2021,1,41,55,5,0,CBD,CBD
73,2004,2021,1,17,60,6,0,CBD,CBD
150,2014,2021,1,7,85,8,0,CBD,CBD
80,2012,2021,1,9,60,6,0,CBD,CBD
83,2013,2021,1,8,60,6,0,CBD,CBD
70,2001,2021,1,20,60,8,0,CBD,CBD
110,2000,2021,1,21,90,6,0,CBD,CBD
73,2001,2021,1,20,65,3,0,CBD,CBD
30,1971,2021,1,50,45,3,0,CBD,CBD
130,2006,2021,1,15,80,6,0,CBD,CBD
140,2008,2021,1,13,70,4,0,CBD,CBD
38,1983,2021,1,38,45,4,0,CBD,CBD
33,2004,2021,1,17,35,2,0,CBD,CBD
43,1998,2021,1,23,45,5,0,CBD,CBD
73,1997,2021,1,24,55,5,0,CBD,CBD
55,2003,2021,1,18,40,2,0,CBD,CBD
85,2013,2021,1,8,60,1,0,CBD,CBD
90,2013,2021,1,8,60,1,0,CBD,CBD
67,1978,2021,1,43,70,7,0,CBD,CBD
82,1971,2021,1,50,75,5,0,CBD,CBD
100,2012,2021,1,9,70,7,0,CBD,CBD
73,2012,2021,1,9,50,8,0,CBD,CBD
70,1982,2021,1,39,75,10,0,CBD,CBD
170,2006,2021,1,15,90,10,0,CBD,CBD
150,2006,2021,1,15,80,10,0,CBD,CBD
100,2012,2021,1,9,70,8,0,CBD,CBD
74,1979,2021,1,42,65,5,0,CBD,CBD
65,2013,2021,1,8,45,7,0,CBD,CBD
120,2013,2021,1,8,65,4,0,CBD,CBD
160,2013,2021,1,8,85,4,0,CBD,CBD
65,2008,2021,1,13,50,5,0,CBD,CBD
120,2014,2021,1,7,65,6,0,CBD,CBD
150,2015,2021,1,6,75,5,0,CBD,CBD
75,2002,2021,1,19,55,7,0,CBD,CBD
170,2013,2021,1,8,85,7,0,CBD,CBD
24,1983,2021,1,38,25,7,0,CBD,CBD
35,1997,2021,1,24,30,7,0,CBD,CBD
74,2012,2021,1,9,65,6,0,CBD,CBD
100,2013,2021,1,8,85,7,0,CBD,CBD
78,2015,2021,1,6,40,5,0,CBD,CBD
65,1979,2021,1,42,60,7,0,CBD,CBD
21,1982,2021,1,39,30,5,0,CBD,CBD
